PairID	GroundTruth	Weight	QCCD	GRCI	CAM	IGCI	IGCI_G	RESIT	RESIT_std
1	1	1	0.051031119198744	0.333729156255977	31.5021110563246	1.94698450358796	-0.523343842551659	6.39019105812408e-238	0.000575954432105563
2	1	1	0.0735185577947076	0.189008020669542	31.3497286848471	-0.610726461026863	0.129773954571474	0	2.05807859093424e-05
3	1	1	0.0152797841804821	0.37200244188854	30.1489342971435	1.67232951389629	-1.24707765628091	-8.28846339555037e-133	0.83957524310724
4	1	1	-0.00382407441505561	0.0439046284307825	-31.100767964936	1.21937958441254	0.158662588370499	-5.62288160205205e-307	0.418604395210986
5	1	1	-0.00620210592924975	0.0634716810151215	-31.5477912225653	-2.57693042377488	0.107193604185436	-2.4914311582662e-81	0.700181497142071
6	-1	1	-0.00719778886630895	-0.0206369701725979	-30.2951660207735	-1.39444591175345	-0.890606098111798	2.27517594046634e-69	-5.61144307214179e-05
7	-1	1	-0.00320122781628196	-0.293007639599329	-29.4804085084126	-1.68084415043445	0.108218721570569	0	-0.269651702733652
8	-1	1	-0.00265342857682149	0.282085392881646	-31.2945647541942	0.152950519383287	-0.711126937504444	-1.69256242191898e-206	2.45576502646664e-92
9	1	1	-0.00433180861956795	0.0162738597766676	30.7476359497627	1.6081688114157	0.279400118753376	8.77976103766436e-180	0.979500926103683
10	1	1	0.0144958016451542	1.10592453806031	-29.0905522520184	6.07688725918696	-1.74455103681428	3.75629960794027e-216	0.482911330092742
11	-1	1	0.00498387056684491	-0.0119171779422977	31.1909387056358	-0.113445025862575	0.0416424516809553	3.203833058909e-282	-0.615361307231524
12	1	1	0.00136289887282903	0.230282798146117	29.1328596166436	1.40913848211018	1.186378069323	-1.24086824673596e-134	3.30675399587827e-06
13	1	1	-0.0044292766498073	0.150570934446762	30.7158605808261	-0.53108258209056	-0.503977815213789	0	2.06884256196375e-22
14	1	1	-0.00105656666866261	-0.00016493406444873	30.1608328939979	0.0471696871206593	0.105544076979609	0	0.722841408062968
